event,year,family,n_counties,n_zero_weather_counties,frac_zero_weather_counties,active_n,active_frac_zero_weather_transitions
2018-01-16,2018,winter,355,122,0.3436619718309859,16320,0.3411764705882353
2018-10-11,2018,tropical,235,109,0.46382978723404256,10992,0.45414847161572053
2019-02-20,2019,winter,474,147,0.310126582278481,21728,0.296759941089838
2019-02-24,2019,wind,688,235,0.34156976744186046,31563,0.3224028134207775
2019-11-27,2019,wind,480,196,0.4083333333333333,22791,0.4074854109078145
2020-02-06,2020,flood,326,163,0.5,15317,0.49565841875040806
2020-08-04,2020,tropical,213,124,0.5821596244131455,10176,0.5849056603773585
2020-10-29,2020,tropical,240,100,0.4166666666666667,11520,0.4166666666666667
2021-02-15,2021,winter,810,307,0.3790123456790123,38280,0.3733542319749216
2021-05-04,2021,convective,344,0,0.0,16320,0.0
2021-06-21,2021,convective,256,0,0.0,12240,0.0
2021-08-11,2021,convective,253,0,0.0,12049,0.0
2021-12-11,2021,convective,256,0,0.0,11940,0.0
2021-12-15,2021,wind,361,291,0.8060941828254847,16391,0.7979378927460191
2022-01-16,2022,winter,556,121,0.21762589928057555,26231,0.21958751096031412
2022-03-12,2022,winter,536,145,0.27052238805970147,25139,0.26731373562989774
2022-04-13,2022,convective,207,0,0.0,9696,0.0
2022-06-08,2022,convective,183,0,0.0,0,
2022-06-17,2022,convective,356,0,0.0,16944,0.0
2022-07-23,2022,convective,186,0,0.0,8881,0.0
2024-01-09,2024,winter,240,119,0.49583333333333335,11472,0.497907949790795
2024-01-12,2024,winter,578,288,0.4982698961937716,27024,0.48845470692717585
2024-05-08,2024,convective,236,70,0.2966101694915254,11328,0.2966101694915254
2024-05-26,2024,convective,339,82,0.24188790560471976,16224,0.24260355029585798
2024-06-26,2024,convective,230,89,0.3869565217391304,10992,0.388646288209607
2024-09-27,2024,wind,445,175,0.39325842696629215,21281,0.3924627602086368
